STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),Ghi chú
34,新しい,あたらしい,mới,世界でもベトナムでも、企業のCEOをブランドアンバサダーに任命するというアイデアは目新しいものではありませんが、多くの大手ブランドが成功を収めています。,"Trên thế giới và ngay tại Việt Nam, CEO của một doanh nghiệp làm đại diện thương hiệu không phải là một ý tưởng mới lạ mà thực tế đã được nhiều thương hiệu lớn áp dụng thành công. ",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,
35,うるさい,うるさい,"Kỹ tính/khó tính (dùng cho ngữ cảnh người tiêu dùng)
Ồn ào (trong đa số ngữ cảnh)",日本の消費者は品質やサービスに対して非常にうるさいため、企業は常に高いレベルを維持しなければならない。,"Người tiêu dùng Nhật Bản cực kỳ khó tính trong việc xem xét chất lượng và dịch vụ, do đó các doanh nghiệp phải luôn duy trì một tiêu chuẩn ở mức độ cao.",「BJTビジネス日本語能力テスト 模試と対策」p.132,,
36,細かい ,こまかい,"cặn kẽ, tỉ mỉ",UAE - 世界の金市場が価格上昇の嵐に巻き込まれる中、中東では新たな傾向が形成されつつある。UAEの宝石店は金を売るだけでなく、「世界で一番安い金を買いたいならUAEへ」というメッセージも「売って」いるのだ。一見、マーケティング戦略のように聞こえるが、金の価格、製造コスト、税制など各要素を細かく分析すると、アラブ首長国連邦（UAE）は、日々加熱する世界市場において、価格面でまれな「安値」にあることが明らかになる。,"UAE - Khi thị trường vàng thế giới đang chìm trong cơn lốc tăng giá thì tại Trung Đông đang định hình xu hướng mới: Các nhà bán lẻ trang sức ở UAE không chỉ bán vàng mà còn ‘bán’ thông điệp: ‘Hãy đến UAE nếu muốn mua vàng rẻ nhất thế giới’. Thoạt nghe có vẻ là một chiêu trò marketing, nhưng khi bóc tách (phân tích tỉ mỉ) từng yếu tố - từ giá vàng niêm yết, chi phí chế tác đến hệ thống thuế, có thể thấy Các Tiểu vương quốc Arab Thống nhất (UAE) thực sự là một ""điểm trũng"" hiếm hoi về giá giữa thị trường toàn cầu đang nóng lên từng ngày.",https://www.vietnam.vn/ja/quoc-gia-vo-nguc-tu-hao-hay-den-day-neu-muon-mua-vang-re-nhat-the-gioi,https://vietnamnet.vn/quoc-gia-vo-nguc-tu-hao-hay-den-day-neu-muon-mua-vang-re-nhat-the-gioi-2404536.html,"Bản tiếng Nhật dùng chữ 細かく分析、có nghĩa là ""phân tích chi tiết"", dùng cho chữ ""bóc tách"""
37,小さい,ちいさい,nhỏ. khiêm tốn,ベトナムは経済規模が小さく、出発点が低く、開放度が高い発展途上国であるため、世界情勢の変動が経済に影響を及ぼす可能性があります。,"Việt Nam là quốc gia đang phát triển, quy mô kinh tế còn khiêm tốn, xuất phát điểm thấp, độ mở cao, do đó, những biến động trên thế giới đều có thể ảnh hưởng đến nền kinh tế nước ta.",https://www.vietnam.vn/ja/buc-tranh-sang-mau-cua-nen-kinh-te-viet-nam-trong-quy-i-2025?utm_source=chatgpt.com,https://baolamdong.vn/buc-tranh-sang-mau-cua-nen-kinh-te-viet-nam-trong-quy-i-2025-249261.html,
38,親しみやすい,したしみやすい,"gần gũi, thân thiện ",こうした真の親睦を通して、ザ・ハイはより「人間的」で、親しみやすく、顧客に近い存在へと成長していきます。 ,"Từ sự đồng hành chân thực đó mà The High cũng trở nên ""con người"" hơn, dễ tiếp cận và gần gũi với khách hàng.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,
39,悪い,わるい,"tệ
xin lỗi (trong giao tiếp)",じゃあ、悪いけどスケジュール表に9時、日本商事訪問と、追加しておいてください。,"Vậy thì, phiền bạn ghi thêm vào lịch 9 giờ: đến thăm Công ty Thương mại Nhật Bản nhé.",「BJTビジネス日本語能力テスト 模試と対策」p.110,,"悪いけど là một cụm có nghĩa ""xin lỗi, nhưng"""
40,良い,いい・よい,tốt ,特に、農家の収入を増やし、環境に対してより良い行動をとることは、ベトナムの米生産の将来にとって、環境に優しく、責任があり、スマートで持続可能な前向きな方向に貢献します。,"Đặc biệt, tăng thêm một khoản thu nhập cho nông dân và ứng xử tốt hơn với môi trường góp phần vào định hướng tốt đẹp cho tương lai của nền sản xuất lúa Việt Nam - xanh, trách nhiệm, thông minh và bền vững.",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,
41,優しい,やさしい,"thân thiện,  ứng xử tốt",特に、農家の収入を増やし、環境に対してより良い行動をとることは、ベトナムの米生産の将来にとって、環境に優しく、責任があり、スマートで持続可能な前向きな方向に貢献します。,"Đặc biệt, tăng thêm một khoản thu nhập cho nông dân và ứng xử tốt hơn với môi trường góp phần vào định hướng tốt đẹp cho tương lai của nền sản xuất lúa Việt Nam - xanh, trách nhiệm, thông minh và bền vững.",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,
42,目覚ましい,めざましい,nổi bật,市場トレンドをリードするWCMは、2025年の最初の8ヶ月間で目覚ましい業績を達成しました。,"Đón đầu xu hướng thị trường, WCM đã ghi dấu với kết quả kinh doanh nổi bật trong 8 tháng đầu năm 2025. ",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,
43,速い ,はやい,"nhanh, tốc độ cao",電子商取引サービスプロバイダーのAglobalによると、ベトナムは昨年16%以上の成長率を記録し、今年も20%以上の成長が見込まれており、 世界で電子商取引の成長が最も速い国トップ10に入っています。,"Theo đơn vị cung cấp dịch vụ về thương mại điện tử Aglobal, với tốc độ tăng trưởng hơn 16% vào năm ngoái và tiếp tục dự báo tăng trưởng hơn 20% vào năm nay, Việt Nam đang nằm trong nhóm 10 quốc gia có tốc độ tăng trưởng thương mại điện tử hàng đầu thế giới. ",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,
