STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
52,生産的な,せいさんてきな,"sản xuất lực, năng suất","トンニャット村に所在するドン・フー・クオン株式会社は現在、約2,300人の従業員を擁しています。2025年の最初の6ヶ月間で、生産収益は2024年の同時期と比較して126%増加し、加工収益は117%に達し、従業員の平均収入は1人あたり月820万ドンに達しました。現在、同社は2026年6月までの受注を確保しており、従業員の雇用と安定した収入を創出しています。ここ数ヶ月、同社は従業員の効率的かつ生産的な労働を促進するため、予期せぬ報酬セッションを開催しています。","Công ty CP Đồng Phú Cường (đóng tại xã Thống Nhất) hiện có gần 2,3 ngàn lao động. Trong 6 tháng đầu năm 2025, doanh thu sản xuất tăng 126% và doanh thu gia công đạt 117% so với cùng kỳ năm 2024, thu nhập bình quân của NLĐ đạt 8,2 triệu đồng/người/tháng. Hiện công ty có đơn hàng đến tháng 6-2026, tạo việc làm, thu nhập ổn định cho NLĐ. Những tháng qua, công ty tổ chức các đợt khen thưởng đột xuất để động viên công nhân lao động làm việc hiệu quả, năng suất cao.",https://www.vietnam.vn/ja/nganh-det-may-khoi-sac-cong-nhan-yen-tam-lam-viec,https://baodongnai.com.vn/kinh-te/202507/nganh-det-may-khoi-sac-cong-nhan-yen-tam-lam-viec-ab92a4d/,,
53,誠実な,せいじつな,trung thực,原則として、2021～2025年の5カ年社会経済開発計画の実施状況の評価要件として、首相は、2016～2020年の期間および世界と地域（該当する場合）との比較を伴う、完全で現実的、客観的、誠実な評価を要求します。評価には、達成された結果、特に2021～2025年の期間に設定された目標と目的と、2016～2020年の期間の同様の目標と目的との比較、困難、制限、弱点、客観的および主観的原因の分析による教訓の抽出、2026～2030年の期間に向けた効果的な解決策の特定が含まれます。,"Về nguyên tắc, yêu cầu đối với đánh giá thực hiện Kế hoạch phát triển kinh tế xã hội 5 năm 2021-2025, Thủ tướng Chính phủ yêu cầu đánh giá đầy đủ, đúng thực chất, khách quan, trung thực, có so sánh với giai đoạn 2016-2020 và thế giới, khu vực (nếu có), bao gồm: kết quả đạt được, đặc biệt là các chỉ tiêu, mục tiêu đã đề ra trong giai đoạn 2021-2025, so sánh với các chỉ tiêu, mục tiêu tương tự giai đoạn 2016-2020; khó khăn, hạn chế, yếu kém; phân tích nguyên nhân khách quan và chủ quan để rút ra bài học kinh nghiệm, xác định giải pháp hiệu quả cho giai đoạn 2026-2030.",https://www.vietnam.vn/ja/phan-dau-tang-truong-gdp-binh-quan-giai-doan-2026-2030-dat-tu-10-nam-tro-len,https://baotintuc.vn/thoi-su/phan-dau-tang-truong-gdp-binh-quan-giai-doan-20262030-dat-tu-10nam-tro-len-20251020073601879.htm,,
54,積極的な,せっきょくてきな,tích cực,透明性と繋がりが重視される時代において、CEOがブランドアンバサダーとして積極的に活動することは、単なるトレンドではなく、スマートなコミュニケーション手段でもあります。,"Trong kỷ nguyên của sự minh bạch và kết nối, việc các CEO bước ra làm đại diện thương hiệu không chỉ là một xu hướng (tích cực) mà còn là một cách làm truyền thông thông minh. ",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
55,絶好調な,ぜっこうちょうな,"cực kỳ thuận lợi, đỉnh cao,  tươi đẹp nhất",ウォール街は絶好調だ。米連邦準備制度理事会（FRB）の重要な政策会合を目前に控え、ダウ平均株価、S&P500、ナスダックの主要株価指数はいずれも過去最高値を更新し、米中貿易交渉の明るい兆しを受けて上昇の勢いを持続させた。,"Phố Wall đang trải qua những ngày tươi đẹp nhất. Ngay trước thềm cuộc họp chính sách quan trọng của Cục Dự trữ Liên bang Mỹ (Fed), cả 3 chỉ số chứng khoán chính là Dow Jones, S&P 500 và Nasdaq đều đồng loạt đóng cửa ở mức cao kỷ lục mới, nối dài đà tăng trưởng nhờ những tín hiệu tích cực từ đàm phán thương mại Mỹ - Trung.",https://www.vietnam.vn/ja/fed-hop-giua-suong-mu-du-lieu-bai-toan-cho-nen-kinh-te-so-1-toan-cau,https://dantri.com.vn/kinh-doanh/fed-hop-giua-suong-mu-du-lieu-bai-toan-cho-nen-kinh-te-so-1-toan-cau-20251027213521395.htm,,
56,全体的な,ぜんたいてきな,toàn thể,ブイ・クアン・ビン准教授は、2021年から2025年までの全体的な期間では、ベトナムが顕著な適応力と回復力を発揮したことが示されているが、持続可能な成長を維持するためには、経済は生産性、イノベーション、技術的自立に基づくモデルに大きく移行し、それによって経済の内生的能力とグローバルバリューチェーンにおける地位を強化する必要があると述べた。,"PGS. TS Bùi Quang Bình cho rằng, tổng thể giai đoạn 2021–2025 cho thấy Việt Nam đã chứng minh năng lực thích ứng và sức chống chịu đáng kể, song để duy trì tăng trưởng bền vững, nền kinh tế cần chuyển mạnh sang mô hình dựa trên năng suất, đổi mới sáng tạo và tự chủ công nghệ, qua đó nâng cao năng lực nội sinh và vị thế của nền kinh tế trong chuỗi giá trị toàn cầu.",https://www.vietnam.vn/ja/viet-nam-giu-duoc-da-tang-truong-lien-tuc-tro-thanh-diem-sang-cua-khu-vuc-chau-athai-binh-duong,https://baochinhphu.vn/viet-nam-giu-duoc-da-tang-truong-lien-tuc-tro-thanh-diem-sang-cua-khu-vuc-chau-athai-binh-duong-102251023155853587.htm,,
57,想定外な,そうていがいな,"ngoài dự tính, bất ngờ",金融市場とノンバンク金融機関は、更なる悪化に対して依然として非常に敏感であり、経済成長の減速に伴い、想定外の事態に直面する可能性があります。同時に、投資ファンドやその他のノンバンク金融機関は、流動性リスク、信用リスク、レバレッジリスクに対して依然として脆弱であり、マクロプルーデンスの観点から金融市場の耐性を強化する必要性がさらに強調されています。,"Thị trường tài chính và các tổ chức tài chính phi ngân hàng vẫn rất nhạy cảm trước những diễn biến tiêu cực tiếp theo và có thể phải đối mặt với những bất ngờ khi tăng trưởng kinh tế giảm. Đồng thời, các quỹ đầu tư và các tổ chức tài chính phi ngân hàng khác vẫn dễ bị tổn thương trước rủi ro thanh khoản, tín dụng và đòn bẩy. Điều này càng cho thấy sự cần thiết phải tăng cường khả năng phục hồi của thị trường tài chính xét từ góc độ an toàn vĩ mô.",https://www.vietnam.vn/ja/ecb-no-luc-kiem-soat-lam-phat-va-can-bang-tang-truong-kinh-te,https://baoquocte.vn/ecb-no-luc-kiem-soat-lam-phat-va-can-bang-tang-truong-kinh-te-252300.html,,
58,大規模な,だいきぼな,quy mô lớn,ACTロードマップの最終段階であるAIエージェントによる大規模なビジネス変革において、ファーウェイは100以上のステップでエージェントとプロセスを自動生成できる「ワンストップ」のVersatileプラットフォームを発表しました。このプラットフォームは、AIエージェントの導入を迅速化します。,"Ở bước cuối cùng của lộ trình ACT – chuyển đổi hoạt động kinh doanh bằng các tác tử AI ở quy mô lớn, Huawei giới thiệu nền tảng Versatile “một cửa”, có khả năng tự động tạo ra các tác tử cũng như các quy trình với hơn 100 bước. Nền tảng này giúp tăng tốc quá trình triển khai tác nhân AI. ",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
60,最終な,さいしゅうな,cuối cùng,ACTロードマップの最終段階であるAIエージェントによる大規模なビジネス変革において、ファーウェイは100以上のステップでエージェントとプロセスを自動生成できる「ワンストップ」のVersatileプラットフォームを発表しました。このプラットフォームは、AIエージェントの導入を迅速化します。,"Ở bước cuối cùng của lộ trình ACT – chuyển đổi hoạt động kinh doanh bằng các tác tử AI ở quy mô lớn, Huawei giới thiệu nền tảng Versatile “một cửa”, có khả năng tự động tạo ra các tác tử cũng như các quy trình với hơn 100 bước. Nền tảng này giúp tăng tốc quá trình triển khai tác nhân AI. ",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401160,,
60,大事な,だいじな,quan trọng,ハノイのチャン・ニャン・トン通り、ハン・バック通り、カウ・ザイ通りなど、金銀商店が軒を連ねる通りには、まだ金運の神様の日ではないにもかかわらず、大勢の人が金を買い求めにやって来ました。多くの人が、昨日より金の値段が上がっているものの、主に縁起を担いで買ったので、それほど重要ではなく、金が手に入り、欲しい金が買えるということが大事だと言っていました。,"Tại một số tuyến phố tập trung nhiều cửa hàng bán vàng bạc tại Hà Nội như Trần Nhân Tông, Hàng Bạc, Cầu Giấy… người dân đến mua vàng khá đông dù chưa đến ngày vía Thần tài. Nhiều người cho biết, dù hôm nay giá vàng đã tăng so với hôm qua, nhưng họ mua vàng chủ yếu cầu may mắn nên cũng không quá quan trọng, chủ yếu là còn vàng và mua được vàng như mong muốn.",https://www.vietnam.vn/ja/vang-tang-du-doi-nguoi-dan-xep-hang-mua,https://kinhtedothi.vn/vang-tang-du-doi-nguoi-dan-xep-hang-mua.html,,
61,大切な,たいせつな,"quan trọng, quý giá",2019年に発売されたユニバーサル保険商品「PRU-Active Life」は、多くのお客様、特に若いご家族から厚い信頼を寄せられており、現在もなお高い評価をいただいています。プルデンシャルは、各家庭の稼ぎ頭が日々直面するプレッシャーを理解し、お客様と共に、生活の質の維持・向上、お子様の教育保障、老後の快適な暮らしなど、大切な目標に向けた最適な資産形成・計画のためのソリューションを積極的に構築し、守り、守り、構築していくことを目指して開発しました。,"Ra mắt từ năm 2019, sản phẩm bảo hiểm liên kết chung “PRU-Chủ động cuộc sống” đã và vẫn đang nhận được sự tín nhiệm của nhiều khách hàng nhất là đối tượng gia đình trẻ. Thấu hiểu những áp lực mà những người trụ cột trong mỗi gia đình đang phải đối mặt hàng ngày, sản phẩm được Prudential phát triển để cùng khách hàng chủ động bảo vệ và xây dựng giải pháp tối ưu tích lũy và lập kế hoạch tài chính cho những mục tiêu quan trọng, như duy trì hoặc nâng cao chất lượng cuộc sống, đảm bảo giáo dục cho con cái hay tận hưởng cuộc sống an nhàn khi về già.",https://www.vietnam.vn/ja/kinh-te-bien-dong-khien-cac-gia-dinh-viet-muon-tich-luy-an-toan,https://www.vietnam.vn/kinh-te-bien-dong-khien-cac-gia-dinh-viet-muon-tich-luy-an-toan,,
62,代表的な,だいひょうてきな,"biểu thị những cái điển hình, tiêu biểu nhất",10月12日、ホーチミン市党大会（任期2025～2030年）に出席する代表団がVNGコーポレーションを訪問し、視察を行いました。同社は、ホーチミン市の経済、文化、社会、防衛、安全保障分野における一連の優れたモデルとプロジェクトの中で、市党委員会によって選出された代表的なテクノロジー企業です。,"Ngày 12/10, đoàn đại biểu tham dự Đại hội Đảng bộ TP Hồ Chí Minh lần thứ I (nhiệm kỳ 2025-2030) đã có chuyến tham quan và làm việc tại Công ty Cổ phần Tập đoàn VNG. Đây cũng là doanh nghiệp công nghệ tiêu biểu được Thành ủy lựa chọn trong chuỗi các mô hình, công trình nổi bật về kinh tế, văn hóa, xã hội, quốc phòng – an ninh của thành phố. ",https://www.vietnam.vn/ja/vng-la-mo-hinh-noi-bat-ve-kinh-te-chuyen-doi-so,https://doanhnghiepvn.vn/doanh-nhan/vng-la-mo-hinh-noi-bat-ve-kinh-te-chuyen-doi-so/20251013092821710,,
63,正確な,たしかな,chính xác,しかし、インフレや燃料価格の変動により、店舗賃借費、人件費、物流費など運営コストが増大し、国内外の大手チェーン間での価格競争は激化しています。野菜、肉、魚などの生鮮食品については、正確な需要予測と効率的な在庫管理が求められており、これは困難な課題となっています。,"Tuy nhiên, cạnh tranh giá cả giữa các chuỗi lớn trong và ngoài nước ngày càng khốc liệt khi chi phí vận hành, từ thuê mặt bằng, nhân sự đến logistics ngày một tăng cao do lạm phát và giá xăng dầu biến động. Với nhóm hàng tươi sống như rau củ hay thịt cá, yêu cầu dự báo nhu cầu chính xác và quản lý tồn kho hiệu quả là bài toán nan giải.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
64,効率的な,こうりつてきな,Hiệu quả,しかし、インフレや燃料価格の変動により、店舗賃借費、人件費、物流費など運営コストが増大し、国内外の大手チェーン間での価格競争は激化しています。野菜、肉、魚などの生鮮食品については、正確な需要予測と効率的な在庫管理が求められており、これは困難な課題となっています。,"Tuy nhiên, cạnh tranh giá cả giữa các chuỗi lớn trong và ngoài nước ngày càng khốc liệt khi chi phí vận hành, từ thuê mặt bằng, nhân sự đến logistics ngày một tăng cao do lạm phát và giá xăng dầu biến động. Với nhóm hàng tươi sống như rau củ hay thịt cá, yêu cầu dự báo nhu cầu chính xác và quản lý tồn kho hiệu quả là bài toán nan giải.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
65,妥当な,だとうな,"thỏa đáng, có cơ sở",2023年までに民間部門の経済貢献度が70%に達するという数字は、全く妥当な数字です。世界の多くの先進国では、民間部門が経済の主要部分を担っており、国家部門の貢献度は低下する傾向にあります。,"Con số 70% đóng góp của khu vực tư nhân vào nền kinh tế năm 20230 hoàn toàn có cơ sở. Trên thế giới, rất nhiều quốc gia phát triển thì khu vực tư nhân đóng góp là phần chính, khu vực Nhà nước có xu hướng giảm.",https://www.vietnam.vn/ja/vi-sao-ho-kinh-doanh-viet-nam-khong-muon-lon,https://vtcnews.vn/vi-sao-ho-kinh-doanh-viet-nam-khong-muon-lon-ar934011.html,,
66,多様な,たような,"đa dạng, nhiều",党の第13回全国代表大会（2021年）の文書には、次のように明記されている。「ベトナムの社会主義志向の市場経済は、多様な所有形態と多様な経済セクターを有し、その中で、国有経済が主導的な役割を果たし、集団経済と協同組合経済が継続的に強化・発展し、民間経済が重要な原動力となり、外国投資資本による経済が戦略、計画、社会経済発展計画に従って発展するようますます奨励されている。」,"Văn kiện Đại hội lần thứ XIII (năm 2021) của Đảng nêu rõ: Nền kinh tế thị trường định hướng xã hội chủ nghĩa Việt Nam có nhiều hình thức sở hữu, nhiều thành phần kinh tế, trong đó: kinh tế nhà nước giữ vai trò chủ đạo; kinh tế tập thể, kinh tế hợp tác không ngừng được củng cố, phát triển; kinh tế tư nhân là động lực quan trọng; kinh tế có vốn đầu tư nước ngoài ngày càng được khuyến khích phát triển phù hợp với chiến lược, quy hoạch và kế hoạch phát triển kinh tế xã hội",https://www.vietnam.vn/ja/bo-tu-tru-cot-de-viet-nam-cat-canh-dong-luc-quan-trong-nhat-cua-nen-kinh-te,https://baotintuc.vn/thoi-su/bo-tu-tru-cot-de-viet-nam-cat-canh-dong-luc-quan-trong-nhat-cua-nen-kinh-te-20250521104432417.htm,,
67,中長期的な,ちゅうちょうきてきな,trung – dài hạn,8か月間で銀行と資本市場から22500兆ドン以上が動員され、経済と企業の中長期的な資本ニーズを満たすのに貢献しました。,"Hơn 22,5 triệu tỷ đồng đã được huy động từ ngân hàng và thị trường vốn trong 8 tháng, góp phần đáp ứng nhu cầu vốn trung, dài hạn cho kinh tế và doanh nghiệp. ",https://www.vietnam.vn/ja/gia-tang-von-trung-va-dai-han-cho-nen-kinh-te,https://vtv.vn/gia-tang-von-trung-va-dai-han-cho-nen-kinh-te-100250922203109924.htm,,
68,長期的な,ちょうきてきな,"dài hạn, lâu dài",デジタルライフ・マルチメディア株式会社のTikTokショップパートナー＆クリエイターネットワーク責任者であるトゥアン・ドゥン氏は、ライブストリーミングは短期間で収益を生み出す可能性があるものの、非常に一時的なものであり、コンテンツの管理が難しく、長期的な価値は低いと述べています,"Ông Tuấn Dũng, Trưởng nhóm TikTok Shop Partner & Creator Network, Công ty Cổ phần Truyền thông đa phương tiện Cuộc Sống số cho rằng, livestream có thể tạo doanh thu nhanh, nhưng tính nhất thời cao, khó kiểm soát nội dung và ít để lại giá trị lâu dài. ",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,,
69,著名な,ちょめいな,"nổi tiếng, danh tiếng",シャーク・ビン氏は1981年生まれで、ベトナムのテクノロジー分野で著名な実業家の一人です。2019年にはゲーム番組「シャークタンク」に出演し、シャーク・ビン氏の名前もその頃から使われ始めました。,"Shark Bình sinh năm 1981, là một trong những doanh nhân nổi tiếng trong lĩnh vực công nghệ tại Việt Nam. Năm 2019, ông Bình tham gia game show Shark Tank, tên gọi Shark Bình cũng xuất hiện từ thời điểm đó.",https://www.vietnam.vn/ja/nexttech-tut-von-tu-500-ty-xuong-4-2-ty-de-che-cua-shark-binh-con-gi,https://dantri.com.vn/kinh-doanh/nexttech-tut-von-tu-500-ty-xuong-42-ty-de-che-cua-shark-binh-con-gi-20251007141741140.htm,,
70,低調な,ていちょうな,"trì trệ, lưỡng lự",週末のHNX指数は低調な動きを見せました。流動性は改善し、20セッション平均を上回ったものの、スコアは大きく変動しませんでした。一方、HNX指数は依然として10セッション平均と20セッション平均を下回っており、短期トレンドは調整局面にあることを示しています。265ポイント前後のゾーンは、次のトレンド形成においてサポート役となるでしょう。HNX指数がこのサポートを下回った場合、投資家は適切なリスク管理を行う必要があります。,"Diễn biến của HNX-Index phiên cuối tuần có tính chất lưỡng lự, dù thanh khoản có phần cải thiện và vượt mức trung bình 20 phiên nhưng điểm số không có thay đổi đáng kể. Mặt khác, HNX-Index vẫn đang vận động dưới mức trung bình 10 và 20 phiên cho thấy xu hướng trong ngắn hạn thiên về điều chỉnh. Vùng ~265 điểm sẽ đóng vai trò hỗ trợ quyết định xu hướng kế tiếp. Trong trường hợp HNX-Index thủng hỗ trợ này, nhà đầu tư cần đưa ra quyết định quản trị rủi ro phù hợp. ",https://www.vietnam.vn/ja/goc-nhin-ttck-tuan-27-10-31-10-tam-ly-than-trong-thi-truong-van-dang-tich-luy,https://baodautu.vn/goc-nhin-ttck-tuan-2710---3110-tam-ly-than-trong-thi-truong-van-dang-tich-luy-d422942.html,,
71,丁寧な,ていねいな,"cẩn trọng, khéo léo, thân thiện",共産主義雑誌の元編集長であるブー・ヴァン・フック准教授によると、ベトナム航空は、近代的なインフラの開発に投資し、資格があり、熱意と情熱にあふれたスタッフのチームを構築し、フレンドリーで親切で丁寧なサービスの向上に注力し、要件を満たすために役人、公務員、公務員のチームをアップグレードし、外国語、専門、文化、法律のスキルを向上させ、「順応し、追いつき、上回る」ためにフレンドリーで優しい態度を保つ必要があるとのことです。,"Theo Phó Giáo sư, Tiến sĩ Vũ Văn Phúc, nguyên Tổng Biên tập Tạp chí Cộng sản, Vietnam Airlines phải đầu tư phát triển hạ tầng hiện đại; xây dựng đội ngũ cán bộ có trình độ, nhiệt huyết, đam mê; coi trọng nâng tầm dịch vụ thân thiện, mến khách, hòa nhã; nâng cấp đội ngũ cán bộ, công chức, viên chức đáp ứng yêu cầu, nâng cao trình độ ngoại ngữ, chuyên môn, văn hóa, pháp luật, ứng xử phải thân thiện, mềm mại để “Đi cùng, theo kịp và vượt lên”.",https://www.vietnam.vn/ja/vietnam-airlines-trong-hanh-trinh-phat-trien-kinh-te-xanh,https://nhandan.vn/vietnam-airlines-trong-hanh-trinh-phat-trien-kinh-te-xanh-post916558.html,,
72,適切な,てきせつな,"thích hợp,đúng",レオ・チェン氏は、実際に実施されたプロジェクトから、業界の知的変革を促進する5つの重要な要素を導き出します。まず、適切なアプリケーション シナリオを選択することが重要な成功要因です。AI は、コア プロダクション シナリオに深く統合された場合にのみ価値を生み出すためです。,"Từ các dự án đã triển khai thực tế, ông Leo Chen rút ra năm yếu tố then chốt thúc đẩy chuyển đổi trí tuệ hóa ngành công nghiệp. Thứ nhất, việc lựa chọn đúng kịch bản ứng dụng là yếu tố quyết định thành công, bởi AI chỉ tạo ra giá trị khi được tích hợp sâu vào các kịch bản sản xuất cốt lõi.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
73,投機的な,とうきてきな,tính chất đầu cơ,「もちろん、金価格の変動は依然として主に世界価格に左右されますが、国内政策によって金投機の魅力は低下するでしょう。同様に、今後、不動産も投機的な分野へと大きく押し込められるでしょう」とカーン氏は述べた。,"“Tất nhiên, diễn biến lên xuống của vàng vẫn sẽ phụ thuộc chủ yếu vào giá thế giới, nhưng chính sách trong nước sẽ làm đầu cơ vàng trở nên kém hấp dẫn. Tương tự, bất động sản thời gian tới cũng sẽ bị siết mạnh vào phân khúc đầu cơ”, ông Khánh nói.",https://www.vietnam.vn/ja/chan-dau-co-bien-vang-trong-dan-thanh-von-phat-trien-kinh-te,https://baodautu.vn/chan-dau-co-bien-vang-trong-dan-thanh-von-phat-trien-kinh-te-d388602.html,,
74,特別な,とくべつな,đặc biệt,取引終了時点で米国株式市場は48ポイント上昇し、特別な一日をさらに盛り上げました。,"Kết thúc phiên, thị trường chứng khoán Mỹ bật tăng 48 điểm, tạo thêm dấu ấn cho một ngày đặc biệt.",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
75,比較的な,ひかくてきな,tương đối,GDPの高成長、低金利、そして特に上場企業の利益成長といったマクロ経済基盤が支えられ、市場は新たな成長の波の兆しを見せています。PERは約15倍で、上場企業、特に基幹産業である銀行業の高い成長見通しから、市場は依然として比較的魅力的です,"Thị trường đang có dấu hiệu của một sóng tăng mới khi nền tảng vĩ mô đang được ủng hộ với tăng trưởng GDP cao, lãi suất thấp, đặc biệt là sự tăng trưởng lợi nhuận của doanh nghiệp niêm yết. Với mức định giá P/E khoảng 15x, triển vọng tăng trưởng cao của doanh nghiệp niêm yết, đặc biệt nhóm ngành trụ cột ngân hàng, thị trường vẫn còn tương đối hấp dẫn",https://www.vietnam.vn/ja/vn-index-gay-bat-ngo-truoc-gio-cong-bo-nang-hang-chung-khoan-kich-ban-nao-cho-nha-dau-tu,https://nld.com.vn/vn-index-gay-bat-ngo-truoc-gio-cong-bo-nang-hang-chung-khoan-kich-ban-nao-cho-nha-dau-tu-196251007172230508.htm,,
76,悲観的な,ひかんてきな,bi quan,"2023年6月に発表されたデータによると、中国の16～24歳の若者の25%以上、つまり約2,500万人が失業している。1月17日に発表された最新データによると、2023年12月時点でこの率はわずか14.9%だった。しかし、最新の調査では、16～24歳層が全年齢層の中で最も悲観的な見方をしていることが明らかになった。","Theo số liệu công bố vào tháng 6/2023, hơn 25% người trẻ trong độ tuổi 16-24 tại Trung Quốc thất nghiệp, tương đương khoảng 25 triệu người. Số liệu mới nhất công bố hôm 17/1 cho thấy tỷ lệ này chỉ còn 14,9% trong tháng 12/2023. Dù vậy. các khảo sát mới nhất cho thấy nhóm 16-24 là bi quan nhất trong các nhóm tuổi.",https://www.vietnam.vn/ja/nhieu-nguoi-trung-quoc-van-bi-quan-ve-kinh-te,https://vnexpress.net/nhieu-nguoi-trung-quoc-van-bi-quan-ve-kinh-te-4702171.html,,
77,必要な,ひつような,cần thiết,ACT ロードマップに沿って展開を検討している企業には、データの準備と処理からモデルのトレーニング、推論、アプリケーション開発まで、プロセス全体をカバーする AI 指向の ICT インフラストラクチャが必要になります。,"Các doanh nghiệp muốn triển khai theo lộ trình ACT sẽ cần một hạ tầng ICT định hướng AI, bao gồm toàn bộ quy trình từ chuẩn bị và xử lý dữ liệu, đến huấn luyện mô hình, suy luận và phát triển ứng dụng.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
78,敏感な,びんかんな,nhạy cảm,"世界の金価格は過去1週間で急落し、最高値から1タエルあたり約1,200万ドン下落しました。売り圧力は依然として高く、金価格は敏感な水準にあり、この水準を下回ればさらに下落する可能性があります。","Giá vàng thế giới lao dốc trong hơn một tuần qua, mất tổng cộng gần 12 triệu đồng/lượng so với đỉnh cao. Áp lực bán vẫn lớn và vàng đang đứng trước ngưỡng nhạy cảm, có thể tụt sâu hơn nếu mất mốc này.",https://www.vietnam.vn/ja/sau-con-sot-gia-vang-giam-toi-12-trieu-dong-luong-co-con-xuong-them,https://vietnamnet.vn/sau-con-sot-gia-vang-boc-hoi-12-trieu-dong-luong-co-con-giam-nua-2456908.html,,
79,不安な,ふあんな,"bất an, hồi hộp",米連邦準備制度理事会（FRB）が9月16～17日に開催する会合で、9月18日早朝（ベトナム時間）に発表する予定の金利決定を投資家が不安な気持ちで待ち構える中、世界の金融市場は大きく変動した。,"Thị trường tài chính toàn cầu biến động mạnh khi giới đầu tư hồi hộp chờ đợi quyết định lãi suất từ Cục Dự trữ Liên bang Mỹ (Fed) trong cuộc họp kéo dài từ 16-17/9, dự kiến công bố vào rạng sáng 18/9 (giờ Việt Nam).",https://www.vietnam.vn/ja/truoc-gio-fed-ra-quyet-dinh-thi-truong-toan-cau-bien-dong,https://www.vietnam.vn/truoc-gio-fed-ra-quyet-dinh-thi-truong-toan-cau-bien-dong,,
80,不確実な,ふかくじつな,"không chắc chắn, bất định",不確実な世界情勢にもかかわらず、ベトナムの経済は力強く回復している。国際通貨基金（IMF）、経済協力開発機構（OECD）、 世界経済フォーラム（WEF）などの国際機関による肯定的な評価や、UOB銀行（シンガポール）による詳細な分析はすべて、ベトナム経済の長期的な潜在力に対する信頼が高まっていることを示しています。,"Nền kinh tế Việt Nam đang có sự phục hồi mạnh mẽ, bất chấp bối cảnh thế giới còn nhiều bất định. Những đánh giá tích cực từ các tổ chức quốc tế như Quỹ Tiền tệ Quốc tế (IMF), Tổ chức Hợp tác và Phát triển Kinh tế (OECD), Diễn đàn Kinh tế Thế giới (WEF), cùng phân tích chuyên sâu từ ngân hàng UOB (Singapore), đều cho thấy niềm tin ngày càng được củng cố đối với tiềm năng dài hạn của nền kinh tế Việt Nam.",https://www.vietnam.vn/ja/chuyen-gia-quoc-te-kinh-te-viet-nam-phuc-hoi-vung-vang-giua-thach-thuc-toan-cau,https://www.vietnamplus.vn/chuyen-gia-quoc-te-kinh-te-viet-nam-phuc-hoi-vung-vang-giua-thach-thuc-toan-cau-post1047253.vnp,,
81,複雑な,ふくざつな,phức tạp,為替レート管理は多くの課題に直面しており、社債市場は回復しておらず、金市場は複雑な状況にあり、中長期資金の動員能力が制限されています。,"điều hành tỉ giá gặp nhiều thách thức, thị trường trái phiếu doanh nghiệp chưa phục hồi, thị trường vàng diễn biến phức tạp, làm hạn chế khả năng huy động vốn trung và dài hạn. ",https://www.vietnam.vn/ja/ong-phan-van-mai-thi-truong-vang-dien-bien-phuc-tap,https://nld.com.vn/ong-phan-van-mai-thi-truong-vang-dien-bien-phuc-tap-19625102010450693.htm,,
